central_baryon_density,central_pressurec2,M,R,Lambda
1.397110794656529844e+14,1.000000000000000000e+12,1.054899966693176316e-01,7.439404598437492666e+01,3.930243311671562195e+09
1.419745947622280000e+14,1.033748347782209595e+12,1.065263665706969176e-01,6.906873045549561141e+01,2.979474016184059620e+09
1.443144999602421875e+14,1.068635646542448242e+12,1.076279199583372870e-01,6.435222128732733893e+01,1.753006152417196751e+09
1.467333730926563438e+14,1.104700333994429199e+12,1.087893259166608784e-01,6.021416890404454136e+01,1.476655399236915827e+09
1.492338791967842500e+14,1.141982145061196289e+12,1.100314609197669824e-01,5.654318660754176307e+01,1.078768152577215195e+09
1.518187732505458125e+14,1.180522155653795410e+12,1.113236016251176602e-01,5.312911906453151545e+01,7.629795589472295046e+08
1.543693674967828438e+14,1.220362827927403564e+12,1.126336671368592807e-01,5.027055617588670344e+01,6.048207307137883902e+08
1.567692257774237188e+14,1.261548057064778564e+12,1.139164411655581993e-01,4.783074624295697674e+01,4.753404326413673162e+08
1.592500753099476562e+14,1.304123219638571533e+12,1.152606120205078022e-01,4.553310356059247255e+01,3.867169550098782182e+08
1.618146494152905625e+14,1.348135223605789062e+12,1.166559694524341717e-01,4.342215952624007258e+01,3.252967647256247997e+08
1.644657736594538125e+14,1.393632559989484131e+12,1.181168192844380682e-01,4.149052002451033161e+01,2.863186623122372627e+08
1.672063689666229375e+14,1.440665356304620361e+12,1.196310235975932140e-01,3.971429546313640202e+01,2.434052530845853090e+08
1.700394548373487188e+14,1.489285431786969727e+12,1.212256926157622011e-01,3.805058239647308227e+01,2.062387337999415994e+08
1.752487787969000938e+14,1.591503500283917725e+12,1.243148901956458163e-01,3.534663288537019099e+01,1.598044116317307651e+08
1.807574707533928750e+14,1.700737372000473877e+12,1.276539989320937263e-01,3.291842551640100822e+01,1.275009201415058970e+08
1.866442553439227188e+14,1.817468581126630859e+12,1.312501449183809121e-01,3.077116774147683032e+01,1.006639123632834703e+08
1.921606620673675625e+14,1.942211712262843262e+12,1.348729116608960443e-01,2.901200919857229010e+01,8.200658323352888227e+07
1.979535747627135938e+14,2.075516668856319092e+12,1.387507444208131990e-01,2.741158652912429261e+01,6.738300390802383423e+07
2.041440877662686250e+14,2.217971097332900879e+12,1.429567004438777877e-01,2.598048912262150623e+01,5.530120808935631067e+07
2.098402982636519375e+14,2.370202977610808105e+12,1.471242021759985308e-01,2.475940568608170622e+01,4.584308560108351707e+07
2.159126218807053125e+14,2.532883391415961914e+12,1.516719077903859458e-01,2.362619770046193679e+01,3.788540425975102186e+07
2.222257920826881562e+14,2.706729480602425781e+12,1.564896283244592290e-01,2.260852859268517534e+01,3.131515798599803448e+07
2.281744187804123750e+14,2.892507608519078125e+12,1.614174025255989131e-01,2.170724039384520410e+01,2.601081740954075381e+07
2.345313333175745938e+14,3.091036738358735840e+12,1.667679965353066340e-01,2.087384733899701317e+01,2.149187169337117672e+07
2.408673993755837188e+14,3.303192043382448242e+12,1.723430052370879262e-01,2.011567240416456315e+01,1.780053346885229275e+07
2.470993492883118438e+14,3.529908764933873535e+12,1.781890550849762334e-01,1.943947743110810222e+01,1.476093761342623644e+07
2.537590331125202188e+14,3.772186335250964844e+12,1.845210903204745068e-01,1.880297829243736629e+01,1.218774377645394579e+07
2.666061680079092188e+14,4.307769442700430176e+12,1.979035250175631422e-01,1.771410177588855461e+01,8.330988048914282583e+06
2.798359944825470312e+14,4.919395788604112305e+12,2.128784087291589744e-01,1.678805571442777733e+01,5.650505004711189307e+06
2.934247094595659375e+14,5.617862155075140625e+12,2.296814060495121490e-01,1.600621207971866866e+01,3.809442039752948098e+06
3.073565780926570625e+14,6.415498274510825195e+12,2.484366357804768111e-01,1.534208303386296102e+01,2.554926188732290640e+06
3.214769012391430625e+14,7.326384481162276367e+12,2.692329575536423492e-01,1.478007795361501309e+01,1.707377688407067209e+06
3.357921209552493125e+14,8.366600265340756836e+12,2.922705099546538121e-01,1.431026644457907260e+01,1.138301715462434571e+06
3.505341041351508125e+14,9.554508117883414062e+12,3.178303818338804043e-01,1.391261750706838640e+01,7.550141500577891711e+05
3.657162641447699375e+14,1.091107767546511523e+13,3.460934253765187152e-01,1.358318880016651775e+01,5.001874913290000404e+05
3.813605009116207500e+14,1.246025588875698438e+13,3.773103686045419791e-01,1.330733404784223950e+01,3.303065474109582137e+05
3.974972495334917500e+14,1.422938974785410547e+13,4.115406597640191566e-01,1.307736747771529195e+01,2.177195340114747814e+05
4.314125300763292500e+14,1.855687757146357812e+13,4.899478393559740796e-01,1.274203787282123557e+01,9.469724491507583298e+04
4.678761298373013750e+14,2.420045492493587500e+13,5.824772045501541706e-01,1.253058951081240480e+01,4.133884867429726728e+04
4.872313562039829375e+14,2.763648742663506641e+13,6.341915577097454459e-01,1.245952297365352379e+01,2.738933053357451718e+04
5.074437983605101250e+14,3.156037519342550000e+13,6.896359553209757687e-01,1.240550320539348128e+01,1.818981000454897367e+04
5.283418349900599375e+14,3.604138496232422656e+13,7.482269191226826877e-01,1.236930100073705674e+01,1.215906083354283692e+04
5.502195259648386250e+14,4.115861811025136719e+13,8.105762334450481443e-01,1.234164176184288131e+01,8.143995624644792770e+03
5.732271516722875000e+14,4.700240699729946094e+13,8.761542027662909682e-01,1.232372929656822080e+01,5.482602231617559482e+03
5.971704246210520000e+14,5.367590956581542969e+13,9.446423953251339434e-01,1.231304733976931409e+01,3.714160533365671654e+03
6.223649254390980000e+14,6.129693034408069531e+13,1.015767872884864920e+00,1.230474466496545460e+01,2.529735917229433198e+03
6.487287311578627500e+14,7.000000000000001562e+13,1.088989519317800747e+00,1.229815020992320385e+01,1.735701460058825205e+03
6.765456227565548750e+14,7.993875015428376562e+13,1.164466788660059926e+00,1.229240824602159066e+01,1.196628484598664500e+03
7.056644203656932500e+14,9.128862537470003125e+13,1.240561207197508287e+00,1.228353655630859720e+01,8.331952088059339303e+02
7.363502596218407500e+14,1.042499802250879062e+14,1.317371574778022580e+00,1.227092254579469000e+01,5.841624602069379080e+02
7.687187418213227500e+14,1.190516160400331875e+14,1.394378547601513807e+00,1.225491121226762559e+01,4.135035089737798444e+02
8.028851415856560000e+14,1.359548198583990469e+14,1.470497841688654495e+00,1.223206757220785157e+01,2.951410126710486566e+02
8.390031754084956250e+14,1.552579768133030938e+14,1.545228089317436160e+00,1.220072772825193397e+01,2.125878348961290669e+02
8.772563772329565000e+14,1.773018373991173438e+14,1.617818707401250888e+00,1.216135324570983300e+01,1.546796345947817599e+02
9.176853562052412500e+14,2.024755325963355000e+14,1.687744937451546523e+00,1.211348704065801662e+01,1.136065914800502838e+02
9.607150198743485000e+14,2.312234430367714062e+14,1.754117786548264668e+00,1.205652221605024899e+01,8.428429913112383076e+01
1.006354204731480125e+15,2.640530434675675625e+14,1.816487684577471784e+00,1.199071471649497767e+01,6.331089887856717979e+01
1.054987991454275000e+15,3.015438609890301250e+14,1.874435798211857573e+00,1.191686827869829735e+01,4.801740265794087037e+01
1.106861520999792750e+15,3.443577052022878750e+14,1.927226274724321398e+00,1.183274258070135154e+01,3.692562366796109075e+01
1.162285567395513750e+15,3.932503508552598125e+14,1.974868249359420291e+00,1.173902231744202673e+01,2.867997876154692705e+01
1.221489005719258750e+15,4.490848792157577500e+14,2.016523007089548791e+00,1.163705545678405606e+01,2.253294331634559811e+01
1.284933024098742250e+15,5.128469136813593750e+14,2.052632874884029679e+00,1.152729101728508354e+01,1.790047321571317340e+01
1.352946786262018750e+15,5.856620185738530000e+14,2.082897140484132326e+00,1.141047917599218309e+01,1.444158083910879853e+01
1.425948014881312250e+15,6.688155682518390000e+14,2.106928255177795695e+00,1.128566188946283333e+01,1.176109438275895158e+01
1.504353086284686500e+15,7.637754372825581250e+14,2.125394755850253503e+00,1.115561894055729120e+01,9.713601472724519681e+00
1.588636268100359500e+15,8.722179122129890000e+14,2.138244436312677355e+00,1.102063904182877430e+01,8.110419958185689282e+00
1.679291173538462000e+15,9.960572823497875000e+14,2.145519406014323671e+00,1.088057649176666075e+01,6.863266297386900305e+00
1.776807872030446500e+15,1.137479631901636000e+15,2.147652812765536989e+00,1.073729548540866752e+01,5.873361038182925320e+00
1.881769655581153250e+15,1.298981430002450500e+15,2.145035631367825157e+00,1.059153943130831976e+01,5.090337690311148577e+00
1.994714544992977500e+15,1.483413599828858750e+15,2.137852675791783064e+00,1.044418524043960517e+01,4.470562374267051275e+00
2.116294118288773250e+15,1.694031844745511500e+15,2.127118887290991189e+00,1.029828440818991986e+01,3.979013340910492413e+00
2.180504228777567750e+15,1.810302815673116000e+15,2.119934062170659050e+00,1.022174171132783016e+01,3.756302474413991455e+00
2.247119066538872250e+15,1.934554119864455000e+15,2.112096521030594864e+00,1.014768474936019160e+01,3.570192400341487993e+00
2.316223132263940000e+15,2.067333492652708750e+15,2.103805340754118625e+00,1.007663138077675846e+01,3.410207161526395581e+00
2.387904465500783500e+15,2.209226263539785250e+15,2.094338005219078092e+00,1.000274948781276052e+01,3.252219124290265828e+00
2.462234242949609500e+15,2.360857936496395500e+15,2.084072164360226243e+00,9.927444104723518237e+00,3.110714707689890890e+00
2.539344534822051000e+15,2.522896947362696000e+15,2.073338651355412399e+00,9.855008814551922569e+00,2.989080230381750525e+00
2.578951041861186500e+15,2.608040550960967500e+15,2.067783639223171654e+00,9.819111667155201673e+00,2.931727157660180882e+00
2.619299423957340000e+15,2.696057610504904000e+15,2.062047559281115827e+00,9.783375484841016601e+00,2.879141991600635109e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059247105397889133e+00,9.766308943272761667e+00,2.854487602542182589e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059290049836395742e+00,9.766659311881753069e+00,2.857799893698836247e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059236378015689706e+00,9.766511623358148597e+00,2.855432522654221206e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059294577154026751e+00,9.766405113231929391e+00,2.856755865178947751e+00
