pressurec2,energy_densityc2,baryon_density,cs2c2
1.1236019714159985e-13,7.75762126553246,6.69048771152622,1.6945997864013136e-11
1.1236019475463936e-12,7.817295635759562,7.911501883089412,1.5929374172499716e-10
1.1236019475463937e-11,7.857078290656912,7.961680189549807,2.752282478616583e-10
1.1236020092095396e-10,8.105719630150793,8.21257384608163,4.035215002808518e-10
1.346106455596052e-09,11.53697608654582,11.691627347020315,1.455584930405457e-09
1.557471780889604e-08,16.310897120862208,16.558956977725124,3.424597645509416e-09
1.8912286344642437e-07,44.85496701772423,45.49531615737781,1.0743910637761802e-08
6.47463040142407e-06,210.84817439090452,212.4229843099,6.532182291655495e-08
0.00021136536308709357,1143.7519101204043,1159.1270249039164,3.049818810191245e-07
0.010839983166747273,10383.278517673914,10529.155193679911,1.7730750432304743e-06
0.05526808095018265,26077.5431250706,26444.15110833727,3.578326781085789e-06
0.27044261127868807,65512.11791804905,66436.54548555908,6.8087936923662515e-06
1.2804650541295215,164501.36184252548,166860.76126842786,1.2535204521624708e-05
5.858396570033943,413341.99901098723,419159.07582330506,2.223850786322356e-05
25.787129201286437,1038327.7682237742,1052748.2003064756,3.7819433736050885e-05
108.52316034627815,2607754.3920724094,2644415.2613697,6.12769168671521e-05
435.0832347612719,6552206.657044684,6643654.381293715,8.67452434776544e-05
585.0638948450149,8247943.010781746,8363109.568321342,9.438602265298484e-05
1596.4190990730779,16460080.918056862,16686075.60832999,0.00013641178677423752
4264.10597733402,32840598.03806067,33285176.11436781,0.0001792305641290434
11191.661733400537,65532012.835884124,66436542.307577424,0.00023211371861317417
28969.743184381354,130785548.73846783,132538566.25185376,0.00029765859403066126
74270.27238038476,260974336.66811445,264441516.10123843,0.00034217943973673717
97208.96505050185,328604905.6893526,332851761.14367807,0.00036463633492365326
181224.0062062492,520854641.823005,527712198.52850884,0.00046567660064778855
336979.1567432373,825589946.6174133,836310960.177378,0.0005472218524371975
459350.6425127657,1039322354.9848288,1052748248.8125114,0.0004848746393024504
560239.5216899446,1308849976.6781795,1325385590.5957952,0.0004735248382733432
763170.9636892378,1647997285.2191327,1668607555.815133,0.0006186802234035645
1415069.7700814495,2611732679.442616,2644415244.643481,0.0007197182152251634
2621081.4488872574,4141376266.4802227,4191590708.0543923,0.0008396141059288445
4852690.571267287,6565136105.916356,6643653996.5906725,0.0008790519119582404
6298790.919184064,8266839801.197708,8363109401.05915,0.0009440526233534239
8568392.197617227,10403169437.350168,10527482103.422073,0.0010977024164790954
11658909.905207796,13108391541.78556,13253855905.957949,0.0011842124109933808
15852799.998605894,16499864845.999804,16686076310.831202,0.0012785003433045195
21560220.203901876,20786447577.088673,21008131361.672,0.0012590720117493818
27845883.01942771,26167053944.431767,26444151275.59946,0.0013051183979508974
37869128.72809076,32950000393.729557,33285177285.203156,0.0015290512160988138
51484749.771258816,41493329605.68661,41915906411.495155,0.0014928510482070702
66182457.18171866,52254542340.372795,52771221859.99719,0.0015385352561961742
89988408.78070177,65810492553.9718,66436539965.90673,0.0018192420554654404
122373490.02068426,82867314966.36125,83631094010.59149,0.001964504424704077
166315448.82918897,104330068014.85759,105274827222.92184,0.002116624429636985
226164508.16281626,131481740375.52211,132538565248.28064,0.002044790885078676
288921687.58763784,165495926723.10892,166860763108.31198,0.0018366381918024006
321722483.05957246,183398124808.44333,184824717550.98422,0.0018049068109461303
366000600.0993804,208461219870.9845,210081306926.2323,0.001977527704552989
497621579.63774955,262565647637.9294,264441519446.48233,0.0023266084123210826
647025416.7957953,330693492137.49115,332851766161.5439,0.0022306471898685277
868296634.079132,427564309226.2101,430198372156.61536,0.0008303751466565976
877745031.2762474,443576825882.98773,446590046937.4123,0.0006044221997202553
929144294.8424401,519959567444.667,522861603312.8884,0.0006482143869714644
1012130876.8754244,657408702872.1775,660852940452.7112,0.0006046973084586338
1093685433.7901797,792073057031.8811,796000750072.123,0.0006177001081289809
1204818286.084032,967514617045.5809,972127865399.684,0.0006524623856285253
1354997873.4656546,1189501948333.8525,1194753883587.0798,0.0007032673619676237
1556357931.6369345,1463007883256.1482,1469565615472.3325,0.000782755865205446
10337358450.297552,6705887328666.753,6690487711526.219,0.0016221115087124533
20780393648.552708,13423626353762.48,13380975406326.217,0.001995451451356848
37168691285.06965,20148832547133.367,20071463084400.0,0.0027159143511602695
57331035023.12813,26880291463066.14,26761950779200.0,0.0032154852693943806
80478501203.13504,33617219502215.492,33452438474000.0,0.0035565391494628198
145988157401.97757,50586888306018.53,50282817391714.16,0.004763280711189369
249768384513.51767,68706933839758.44,68226029500264.4,0.0066702733969873605
383473419601.7238,86329210826779.42,85646272852613.11,0.008468906708850362
545626516398.1716,103694650101454.08,102783338415884.98,0.010182499315440574
735663366673.7776,120937286203353.84,119770481559210.86,0.011885158871745807
954845589285.6317,138132615528394.88,136682554928114.53,0.013693000730660397
1206552775915.3943,155326539412177.78,153564657449728.0,0.015729400313463558
1496229737864.1018,172547481173206.84,170444098705831.8,0.018109666595141204
1831170232300.5488,189811266699953.9,187335233100421.97,0.02093477003168783
2220238239127.282,207124279125416.38,204242608892702.6,0.024288832653083348
2673576463159.5435,224486725112101.56,221164230493697.84,0.028238214507077038
3202323569139.1094,241895829265696.7,238094744253560.84,0.03283148626468861
3818348281337.256,259348323975025.78,255027924678679.22,0.03810004789566257
4534003317530.273,276841950817492.94,271958185981138.56,0.04405924261692353
5361900944090.4,294376096282214.6,288881243514251.8,0.050709838950136005
6314712245858.992,311951859199197.2,305794219059417.9,0.05803978515326419
7404992642109.321,329571829734107.0,322695464684739.25,0.0660261632720325
8645036103569.251,347239769179207.06,339584289796856.25,0.07463727117181461
10046759753273.096,364960292515139.25,356460690033787.4,0.08383474688166892
11621619181622.822,382738596790355.8,373325118942658.56,0.09357563538789923
13380553155242.62,400580246065809.2,390178312007052.4,0.10381429546391911
15333954782053.596,418491009004559.6,407021158551508.8,0.11450405753926834
17491664899393.947,436476740156480.44,423854612443362.1,0.12559857052810763
19862982660743.08,454543295457576.3,440679632265035.0,0.1370528095459417
22456688066787.63,472696473654036.75,457497143009932.4,0.14882375028105405
25281071465112.77,490941976967117.2,474308013081052.94,0.1608707436434334
28343965703700.805,509285385812559.7,491113041934188.7,0.1731556429466805
31652777511566.684,527732143623781.3,507912954963738.6,0.18564274465144354
35214515647254.38,546287548796784.0,524708403183510.06,0.1982986039189957
39035814284938.41,564956751520662.5,541499965960650.94,0.21109178023145908
43122950920204.2,583744753830300.0,558288155576457.7,0.2239925586887908
47481858732448.79,602656411658379.4,575073422762150.6,0.236972681520221
52118133827708.99,621696438004023.8,591856162629064.2,0.25000511348982113
57037038114156.62,640869406597375.9,608636720608141.2,0.2630638552487809
62243498753766.63,660179755640514.4,625415398153735.9,0.2761238107858509
67742105213530.31,679631791357576.6,642192458065855.4,0.28916070907001423
73537104934003.84,699229691200855.1,658968129354040.0,0.30215107565149535
79632398565489.83,718977506642900.4,675742611613197.5,0.3150722471575746
86031535612714.86,738879165543578.9,692516078912724.0,0.3279024200176555
92737711193919.55,758938474121114.5,709288683219930.5,0.3406207241134065
99753764472712.77,779159118581435.9,726060557390278.9,0.35320731213750434
107082179170984.34,799544666474409.2,742831817762911.6,0.3656434560582479
114725086426212.2,820098567851363.5,759602566402115.4,0.3779116430609001
122684270122352.64,840824156298173.1,776372893025081.1,0.38999566453342777
130961174704072.9,861724649913678.5,793142876654472.2,0.4018806929739508
139556915382015.23,882803152295978.2,809912587031614.1,0.41355334303118363
148472290553402.5,904062653590121.9,826682085822904.5,0.4250017141765601
157707796197985.7,925506031640928.1,843451427648739.1,0.43621541369416694
167263641963552.38,947136053284610.2,860220660960869.9,0.44718555972359453
177139768626813.25,968955375803232.5,876989828790996.5,0.4579047649764244
187335866602654.1,990966548556932.5,893758969390350.1,0.46836710245711444
197851395175482.53,1013172014800779.1,910528116777391.2,0.47856805505221217
208685602138291.97,1035574113685989.1,927297301208204.0,0.48850445121563824
219837543545850.3,1058175082439318.2,944066549582063.0,0.49817438918702905
231306103315680.0,1080977058709564.0,960835885792659.0,0.5075771522540407
243090012442129.1,1103982083066380.9,977605331033808.4,0.5167131175307156
255187867622882.25,1127192101633885.0,994374904067034.6,0.5255836605961112
267598149132045.6,1150608968839682.0,1011144621457107.8,0.5341910581430696
280319237808128.88,1174234450258977.5,1027914497780630.6,0.5425383905482667
293349431057732.94,1198070225533078.0,1044684545811810.9,0.5506294460100878
306686957805794.25,1222117891341901.0,1061454776688848.5,0.5584686276270013
320329992350244.56,1246378964410760.5,1078225200063713.4,0.5660608645185734
334276667102709.5,1270854884532843.5,1094995824237616.1,0.5734115278343089
348525084217195.94,1295547017590091.0,1111766656284027.6,0.5805263522591098
363073326125672.6,1320456658556711.0,1128537702160772.2,0.58741136341268
377919465013207.1,1345585034471172.5,1145308966812470.2,0.5940728113565396
393061571276084.5,1370933307364191.0,1162080454264346.0,0.6005171102665237
408497721014398.06,1396502577131868.0,1178852167708296.0,0.6067507842004022
424226002616264.75,1422293884344744.0,1195624109581923.8,0.6127804187880364
440244522494436.3,1448308212985065.0,1212396281641170.5,0.618612618592804
456551410037952.25,1474546493106039.0,1229168685027110.0,0.6242539698353118
473144821841842.56,1501009603408106.0,1245941320327314.2,0.6297110081311812
490022945277178.9,1527698373728536.5,1262714187632271.0,0.6349901908705387
507184001462075.25,1554613587441752.5,1279487286587192.2,0.6400978738554037
524626247691815.2,1581755983768682.5,1296260616439547.5,0.645040291810631
542347979383462.56,1609126259994415.5,1313034176082669.8,0.649823542391157
560347531586988.4,1636725073594049.0,1329807964095658.8,0.6544535733214685
578623280111569.9,1664553044267379.5,1346581978779933.0,0.6589361723211906
597173642312090.4,1692610755883522.0,1363356218192570.0,0.6632769594914288
615997077577349.4,1720898758337078.0,1380130680176780.8,0.6674813818594498
635092087557947.8,1749417569317793.0,1396905362389638.0,0.6715547098028884
654457216168413.0,1778167675995966.5,1413680262327334.5,0.6755020350986457
674091049394868.2,1807149536626107.0,1430455377348107.0,0.679328270365392
693992214936462.0,1836363582071503.0,1447230704693050.0,0.6830381496911897
714159381705868.9,1865810217252511.0,1464006241504958.0,0.6866362302598918
734591259211486.8,1895489822521430.5,1480781984845352.8,0.6901268948099959
755286596841449.2,1925402754966920.5,1497557931709864.5,0.693514354778688
776244183067302.1,1955549349650924.0,1514334079042094.0,0.6968026540019834
797462844583051.0,1985929920780995.0,1531110423746050.2,0.6999956728574035
818941445393448.1,2016544762820996.0,1547886962697338.8,0.7030971327502082
840678885863607.5,2047394151543016.5,1564663692753166.8,0.7061106008575848
862674101740496.6,2078478345023314.5,1581440610761287.0,0.7090394950571852
884926063155471.0,2109797584585026.5,1598217713567961.0,0.7118870889768559
907433773615756.1,2141352095690298.0,1614994998025040.2,0.7146565171116406
930196268991647.6,2173142088784382.5,1631772460996239.0,0.7173507799625365
953212616505242.4,2205167760094210.0,1648550099362675.8,0.7199727491591678
976481913725611.2,2237429292383777.5,1665327910027740.0,0.7225251725346206
1000003287574540.4,2269926855668635.5,1682105889921368.8,0.7250106791260674
1023775893346308.8,2302660607891684.0,1698884036003759.0,0.7274317840803486
1047798913744331.8,2335630695562313.0,1715662345268597.0,0.7297908934477244
1072071557937018.8,2368837254360907.0,1732440814745848.0,0.7320903088502477
1096593060634677.6,2402280409710570.5,1749219441504114.0,0.7343322320146071
1121362681188947.2,2435960277317900.5,1765998222652648.8,0.7365187691620869
1146379702715860.0,2469876963684497.0,1782777155343051.5,0.7386519352506191
1171643431243350.0,2504030566590825.5,1799556236770654.5,0.7407336580656743
1197153194883760.2,2538421175553967.5,1816335464175634.0,0.7427657821584039
1222908343031673.2,2573048872260693.5,1833114834843919.0,0.7447500726306349
1248908245587222.2,2607913730977271.5,1849894346107841.5,0.7466882187676531
1275152292204847.2,2643015818937275.0,1866673995346645.0,0.7485818375209746
1301639891567355.5,2678355196708621.0,1883453779986793.5,0.7504324768433392
1328370470685012.8,2713931918541008.5,1900233697502145.0,0.7522416188790311
1355343474219301.2,2749746032694840.5,1917013745413969.2,0.7540106830133879
1382558363830926.5,2785797581752689.5,1933793921290886.2,0.7557410287855473
1410014617551544.0,2822086602914233.0,1950574222748665.5,0.7574339586686107
1437711729178676.8,2858613128275616.0,1967354647449947.8,0.7590907207215556
1465649207693234.0,2895377185094110.0,1984135193103898.5,0.7607125111178115
1493826576698998.8,2932378796038846.5,2000915857465760.2,0.7623004765549788
1522243373883466.2,2969617979428445.0,2017696638336371.8,0.7638557165502412
1550899150499363.5,3007094749456233.0,2034477533561637.8,0.7653792856264475
1579793470866198.8,3044809116403747.5,2051258541031913.8,0.7668721953933261
1608925911891179.5,3082761086843176.0,2068039658681411.2,0.7683354165284387
1638296062608815.0,3120950663829303.0,2084820884487515.0,0.7697698806620925
1667903523738577.5,3159377847081610.5,2101602216470120.8,0.7711764821706819
1697747907259958.2,3198042633157027.0,2118383652690916.2,0.7725560798832272
1727828836004254.8,3236945015613783.0,2135165191252665.0,0.7739094987043202
1758145943262498.5,3276084985166960.0,2151946830298448.0,0.7752375311575648
1788698872408898.5,3315462529836137.5,2168728568010950.8,0.7765409388539053
1819487276539174.5,3355077635085529.5,2185510402611680.0,0.7778204538881573
1850510818123237.5,3394930283957065.0,2202292332360227.5,0.7790767801673075
1881769168671628.0,3435020457196756.0,2219074355553483.8,0.7803105946734938
1913262008415147.5,3475348133374737.5,2235856470524894.2,0.7815225486653699
1944989025997196.5,3515913288999319.0,2252638675643711.5,0.7827132688213906
1976949918178264.0,3556715898625312.5,2269420969314207.0,0.7838833583268234
2009144389552088.0,3597755934957018.0,2286203349974960.5,0.7850333979077776
2041572152273012.0,3639033368946104.0,2302985816098095.5,0.786163946815679
2074232925794064.5,3680548169884616.5,2319768366188538.5,0.7872755437636059
2107126436615320.0,3722300305493439.0,2336550998783302.0,0.7883687078169885
2140252418042156.8,3764289742006468.0,2353333712450783.5,0.7894439392421762
2173610609952907.2,3806516444250550.5,2370116505790034.5,0.7905017203139861
2207200758575595.5,3848980375721593.0,2386899377430074.0,0.7915425160840116
2241022616273366.5,3891681498656994.5,2403682326029199.5,0.7925667751128392
2275075941338192.5,3934619774104486.5,2420465350274324.5,0.7935749301672068
2309360497792579.5,3977795161987711.5,2437248448880304.0,0.7945673988838203
2343876055198883.5,4021207621168603.5,2454031620589307.5,0.7955445844021538
2378622388475963.0,4064857109506781.5,2470814864170149.0,0.7965068759673799
2413599277722810.0,4108743583916057.0,2487598178417708.0,0.7974546495047932
2448806508048927.5,4152867000418284.5,2504381562152271.5,0.7983882681674757
2484243869411122.5,4197227314194608.0,2521165014218980.0,0.7993080828586814
2519911156456460.0,4241824479634244.5,2537948533487195.0,0.8002144327297138
2555808168371153.0,4286658450381004.0,2554732118849983.5,0.8011076456548504
2591934708735080.5,4331729179377541.0,2571515769223494.5,0.801988038684671
2628290585381762.5,4377036618907542.5,2588299483546481.0,0.8028559184784269
2664875610263515.5,4422580720635900.0,2605083260779697.0,0.8037115817166809
2701689599321610.5,4468361435647004.0,2621867099905424.0,0.8044527158049153
2738732372361219.5,4514390473607420.0,2638655288844530.5,0.8047696558738638
